test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withEmptyOptional_returnsNull,com.github.javaparser.ast.body.RecordDeclaration,122;132;170-176;202-203;206-210;215-216;219-223;365-366;369-373;383-384,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withEmptyOptional_returnsNull,com.github.javaparser.ast.Modifier,73;138-139;146-149;170-171;174-176,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withEmptyOptional_returnsNull,com.github.javaparser.ast.body.BodyDeclaration,358,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withEmptyOptional_returnsNull,com.github.javaparser.ast.NodeList,103-105,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withPresentOptional_returnsNewInstance,com.github.javaparser.ast.visitor.CloneVisitor,644-650;1282-1288,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withPresentOptional_returnsNewInstance,com.github.javaparser.ast.expr.NameExpr,54-55;72-75;80;91;96-97;100-104,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#cloneNode_withPresentOptional_returnsNewInstance,com.github.javaparser.ast.stmt.YieldStmt,55-56;68-71;75;86-87;90-94;100;124,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#clone_onContinueStmt_returnsDeepCopy,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;101-102;104;107;110;113;117;125-126;607-610;809-812,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#clone_onContinueStmt_returnsDeepCopy,com.github.javaparser.ast.visitor.CloneVisitor,955-961,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#clone_onContinueStmt_returnsDeepCopy,com.github.javaparser.ast.stmt.ContinueStmt,56-57;69-72;77;88;99;102-106;132,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#clone_onContinueStmt_returnsDeepCopy,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83;86;89;92-93;97;101-102;104;107;110;113;117;125-126;222-228;607-610;1008-1011,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.body.AnnotationDeclaration,55-56,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,1254-1259,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.Modifier,133-134;138-139;146-149;154;165;170-171;174-176,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitAnnotationDeclaration_withObject_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,103-105;126;131,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.type.Type,55-56,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83;86;89;92;97;101-102;104;107;110;113;117;402-405;419-424;429-432,
